name,type,start_time,duration,"mosi","miso"
"SPI","enable",0.004146276,4e-09,,
"SPI","result",0.0041478,0.000299952,0x00,0xA5
"SPI","result",0.004494628,0.000288868,0x00,0x85
"SPI","result",0.004809908,0.00025998,0x00,0x00
"SPI","result",0.005096304,0.000284956,0x00,0x7F
"SPI","disable",0.005445488,4e-09,,
"SPI","enable",0.009134644,4e-09,,
"SPI","result",0.009136172,0.00032598,0x00,0xA5
"SPI","result",0.009509036,0.000288916,0x00,0x85
"SPI","result",0.009824372,0.000259984,0x00,0x00
"SPI","result",0.010110772,0.000284964,0x00,0x7F
"SPI","disable",0.010459968,4e-09,,
"SPI","enable",0.014122704,4e-09,,
"SPI","result",0.014124228,0.000325988,0x00,0xA5
"SPI","result",0.0144971,0.000288904,0x00,0x85
"SPI","result",0.014812424,0.000260004,0x00,0x00
"SPI","result",0.015098844,0.000284804,0x00,0x7F
"SPI","disable",0.01544788,4e-09,,
"SPI","enable",0.019110676,4e-09,,
"SPI","result",0.0191122,0.000325988,0x00,0xA5
"SPI","result",0.019485064,0.000262908,0x00,0x85
"SPI","result",0.019774392,0.000286012,0x00,0x00
"SPI","result",0.02008682,0.00028498,0x00,0x7F
"SPI","disable",0.02043604,4e-09,,
"SPI","enable",0.024099152,4e-09,,
"SPI","result",0.02410068,0.000325832,0x00,0xA5
"SPI","result",0.024473392,0.000262896,0x00,0x85
"SPI","result",0.024762704,0.000286044,0x00,0x00
"SPI","result",0.025075164,0.000258992,0x00,0x7F
"SPI","disable",0.02542432,4e-09,,
"SPI","enable",0.02908776,4e-09,,
"SPI","result",0.029089288,0.000299984,0x00,0xA5
"SPI","result",0.029462,0.0002629,0x00,0x85
"SPI","result",0.029751324,0.000286028,0x00,0x00
"SPI","result",0.030063772,0.000258984,0x00,0x7F
"SPI","disable",0.030387,4e-09,,
"SPI","enable",0.034075856,4e-09,,
"SPI","result",0.03407738,0.000299992,0x00,0xA5
"SPI","result",0.034424252,0.000288916,0x00,0x85
"SPI","result",0.034739584,0.00028602,0x00,0x00
"SPI","result",0.03505202,0.00025898,0x00,0x7F
"SPI","disable",0.03537524,4e-09,,
"SPI","enable",0.039064144,4e-09,,
"SPI","result",0.039065668,0.00029998,0x00,0xA5
"SPI","result",0.03941252,0.000288736,0x00,0x85
"SPI","result",0.039727668,0.000260004,0x00,0x00
"SPI","result",0.040014088,0.000284828,0x00,0x7F
"SPI","disable",0.040363152,4e-09,,
"SPI","enable",0.044052656,4e-09,,
"SPI","result",0.04405418,0.000326008,0x00,0xA5
"SPI","result",0.044427072,0.000288916,0x00,0x85
"SPI","result",0.044742404,0.000260024,0x00,0x00
"SPI","result",0.045028848,0.000284996,0x00,0x7F
"SPI","disable",0.045378092,4e-09,,
"SPI","enable",0.049041344,4e-09,,
"SPI","result",0.049042868,0.000325992,0x00,0xA5
"SPI","result",0.049415744,0.000288912,0x00,0x85
"SPI","result",0.049731076,0.000260036,0x00,0x00
"SPI","result",0.050017532,0.000284836,0x00,0x7F
"SPI","disable",0.050366604,4e-09,,
"SPI","enable",0.054029692,4e-09,,
"SPI","result",0.05403122,0.000326016,0x00,0xA5
"SPI","result",0.054404116,0.0002629,0x00,0x85
"SPI","result",0.054693432,0.000286024,0x00,0x00
"SPI","result",0.055005872,0.000284992,0x00,0x7F
"SPI","disable",0.055355112,4e-09,,
"SPI","enable",0.059018164,4e-09,,
"SPI","result",0.059019692,0.000325908,0x00,0xA5
"SPI","result",0.05939248,0.000262908,0x00,0x85
"SPI","result",0.059681804,0.000286008,0x00,0x00
"SPI","result",0.059994228,0.000258988,0x00,0x7F
"SPI","disable",0.0603433,4e-09,,
"SPI","enable",0.064006812,4e-09,,
"SPI","result",0.06400834,0.00029996,0x00,0xA5
"SPI","result",0.06438118,0.000262888,0x00,0x85
"SPI","result",0.064670484,0.000286,0x00,0x00
"SPI","result",0.0649829,0.000258988,0x00,0x7F
"SPI","disable",0.065306128,4e-09,,
"SPI","enable",0.06899494,4e-09,,
"SPI","result",0.068996464,0.000299936,0x00,0xA5
"SPI","result",0.069343272,0.000288856,0x00,0x85
"SPI","result",0.069658548,0.000285996,0x00,0x00
"SPI","result",0.06997096,0.00025896,0x00,0x7F
"SPI","disable",0.070294152,4e-09,,
"SPI","enable",0.073983052,4.00000002e-09,,
"SPI","result",0.073984576,0.00029996,0x00,0xA5
"SPI","result",0.074331412,0.000288896,0x00,0x85
"SPI","result",0.074646728,0.000260036,0x00,0x00
"SPI","result",0.07493318,0.000284868,0x00,0x7F
"SPI","disable",0.075282292,4e-09,,
"SPI","enable",0.078971332,4e-09,,
"SPI","result",0.07897286,0.000325984,0x00,0xA5
"SPI","result",0.079345724,0.000288904,0x00,0x85
"SPI","result",0.079661048,0.000260004,0x00,0x00
"SPI","result",0.079947468,0.000284964,0x00,0x7F
"SPI","disable",0.080296668,4e-09,,
"SPI","enable",0.08395936,3.99999999e-09,,
"SPI","result",0.083960884,0.000326004,0x00,0xA5
"SPI","result",0.084333768,0.000288916,0x00,0x85
"SPI","result",0.084649104,0.000260032,0x00,0x00
"SPI","result",0.084935556,0.000284896,0x00,0x7F
"SPI","disable",0.085284684,4e-09,,
"SPI","enable",0.088947768,4e-09,,
"SPI","result",0.088949296,0.000325832,0x00,0xA5
"SPI","result",0.089322012,0.000262912,0x00,0x85
"SPI","result",0.089611344,0.000286016,0x00,0x00
"SPI","result",0.089923772,0.00028496,0x00,0x7F
"SPI","disable",0.090272976,4e-09,,
"SPI","enable",0.093936108,4e-09,,
"SPI","result",0.093937632,0.000325804,0x00,0xA5
"SPI","result",0.09431032,0.000262916,0x00,0x85
"SPI","result",0.094599652,0.000285872,0x00,0x00
"SPI","result",0.09491194,0.00025898,0x00,0x7F
"SPI","disable",0.095261168,4e-09,,
"SPI","enable",0.09892426,3.99999999e-09,,
"SPI","result",0.098925784,0.000299968,0x00,0xA5
"SPI","result",0.099298628,0.00026288,0x00,0x85
"SPI","result",0.099587928,0.000286004,0x00,0x00
